1,s_2.3,CALPUFF,statico,2.3,--,media 1h
2,s_avg_2.3,LAPMOD,statico,2.3,--,media 1h
3,s_max_1.6,LAPMOD,statico,1.6,--,max 1h
4,d_avg_5s,LAPMOD,dinamico,--,5 s,media 1h
5,d_max_5s,LAPMOD,dinamico,--,5 s,max 1h
6,d_avg_60s,LAPMOD,dinamico,--,60 s,media 1h
7,d_max_60s,LAPMOD,dinamico,--,60 s,max 1h
