 Timeseries at CALMET gridpoint (          25 ,          25 )
 YEAR MONTH DAY HOUR  SEC YEAR MONTH DAY HOUR  SEC      WS        WD        PG         U*        Lmo       W*    Prec.Rate Mix.Hgt  
                                                       (m/s)     (deg)     class     (m/s)      (m)     (cm/s)    (mm/hr)     (m)   
                                                     Layer 1   Layer 1   Layer
 2019    1   2   23     0 2019    1   3    0     0      2.01    326.50      6.00      0.15     16.95      0.00      0.00     75.26
 2019    1   3    0     0 2019    1   3    1     0      1.95    343.94      6.00      0.14     16.95      0.00      0.00     63.42
 2019    1   3    1     0 2019    1   3    2     0      1.72    311.76      6.00      0.12     16.96      0.00      0.00     55.34
 2019    1   3    2     0 2019    1   3    3     0      1.58    326.86      6.00      0.11     16.95      0.00      0.00     58.44
 2019    1   3    3     0 2019    1   3    4     0      1.08    333.25      6.00      0.08     16.95      0.00      0.00     50.22
 2019    1   3    4     0 2019    1   3    5     0      1.49    301.18      6.00      0.11     16.95      0.00      0.00     52.34
 2019    1   3    5     0 2019    1   3    6     0      0.92    277.60      6.00      0.07     16.95      0.00      0.00     50.15
 2019    1   3    6     0 2019    1   3    7     0      0.32    285.60      6.00      0.05     32.58      0.00      0.00     50.00
 2019    1   3    7     0 2019    1   3    8     0      0.81    288.61      6.00      0.06     16.95      0.00      0.00     50.10
 2019    1   3    8     0 2019    1   3    9     0      0.78    311.04      3.00      0.06     16.95      0.00      0.00     50.02
 2019    1   3    9     0 2019    1   3   10     0      0.91    250.38      3.00      0.17    -20.48     44.86      0.00    164.29
 2019    1   3   10     0 2019    1   3   11     0      0.72    265.95      2.00      0.17     -6.49     73.77      0.00    293.87
 2019    1   3   11     0 2019    1   3   12     0      0.74    255.25      2.00      0.18     -5.70     92.47      0.00    435.21
 2019    1   3   12     0 2019    1   3   13     0      1.21    248.10      2.00      0.24    -16.14    102.50      0.00    563.01
 2019    1   3   13     0 2019    1   3   14     0      1.15    273.35      2.00      0.23    -16.21    103.04      0.00    663.84
 2019    1   3   14     0 2019    1   3   15     0      1.34    253.86      3.00      0.24    -32.00     90.19      0.00    707.13
 2019    1   3   15     0 2019    1   3   16     0      1.81    259.86      4.00      0.27   -375.75     42.31      0.00    585.00
 2019    1   3   16     0 2019    1   3   17     0      1.88    291.23      4.00      0.14     16.95      0.00      0.00     55.62
 2019    1   3   17     0 2019    1   3   18     0      1.73    291.87      6.00      0.12     16.96      0.00      0.00     54.37
 2019    1   3   18     0 2019    1   3   19     0      2.12    286.64      6.00      0.20     30.75      0.00      0.00     71.92
 2019    1   3   19     0 2019    1   3   20     0      1.96    292.41      6.00      0.14     16.95      0.00      0.00     62.36
 2019    1   3   20     0 2019    1   3   21     0      1.45    294.74      6.00      0.10     16.95      0.00      0.00     52.46
 2019    1   3   21     0 2019    1   3   22     0      1.50    301.81      6.00      0.11     16.95      0.00      0.00     52.89
 2019    1   3   22     0 2019    1   3   23     0      2.03    314.30      6.00      0.15     16.95      0.00      0.00     77.26
 2019    1   3   23     0 2019    1   4    0     0      2.37    311.98      6.00      0.26     52.84      0.00      0.00    146.51
 2019    1   4    0     0 2019    1   4    1     0      2.29    321.34      6.00      0.24     46.66      0.00      0.00    130.79
 2019    1   4    1     0 2019    1   4    2     0      2.76    321.76      6.00      0.33     88.32      0.00      0.00    192.85
 2019    1   4    2     0 2019    1   4    3     0      2.55    319.63      6.00      0.30     68.74      0.00      0.00    167.06
 2019    1   4    3     0 2019    1   4    4     0      2.55    318.81      6.00      0.29     67.90      0.00      0.00    166.08
 2019    1   4    4     0 2019    1   4    5     0      2.12    326.06      6.00      0.20     30.52      0.00      0.00    100.56
 2019    1   4    5     0 2019    1   4    6     0      1.76    335.35      6.00      0.13     16.95      0.00      0.00     56.75
 2019    1   4    6     0 2019    1   4    7     0      1.04     22.73      6.00      0.08     16.95      0.00      0.00     50.58
 2019    1   4    7     0 2019    1   4    8     0      1.04      5.92      6.00      0.08     16.95      0.00      0.00     50.54
 2019    1   4    8     0 2019    1   4    9     0      1.10    346.04      3.00      0.08     16.95      0.00      0.00     50.43
 2019    1   4    9     0 2019    1   4   10     0      1.06    221.62      3.00      0.19    -28.39     42.49      0.00    156.09
 2019    1   4   10     0 2019    1   4   11     0      0.90    232.30      2.00      0.19    -10.72     73.50      0.00    288.60
 2019    1   4   11     0 2019    1   4   12     0      1.69    232.05      2.00      0.30    -35.20     91.04      0.00    411.85
 2019    1   4   12     0 2019    1   4   13     0      1.68    247.57      2.00      0.30    -33.35     99.09      0.00    504.06
 2019    1   4   13     0 2019    1   4   14     0      1.28    228.70      2.00      0.24    -20.19     97.16      0.00    549.16
 2019    1   4   14     0 2019    1   4   15     0      1.18    218.42      3.00      0.22    -23.51     86.39      0.00    601.26
 2019    1   4   15     0 2019    1   4   16     0      0.45    192.32      3.00      0.09    -10.54     46.12      0.00    560.35
 2019    1   4   16     0 2019    1   4   17     0      0.35     55.47      3.00      0.05     32.58      0.00      0.00     50.00
 2019    1   4   17     0 2019    1   4   18     0      0.94     55.01      6.00      0.07     16.96      0.00      0.00     50.19
 2019    1   4   18     0 2019    1   4   19     0      1.23     66.44      6.00      0.09     16.95      0.00      0.00     51.00
 2019    1   4   19     0 2019    1   4   20     0      1.23     62.93      6.00      0.09     16.95      0.00      0.00     50.98
 2019    1   4   20     0 2019    1   4   21     0      1.47     60.30      6.00      0.11     16.95      0.00      0.00     53.44
 2019    1   4   21     0 2019    1   4   22     0      1.43     67.98      6.00      0.10     16.95      0.00      0.00     53.36
 2019    1   4   22     0 2019    1   4   23     0      1.24     62.70      6.00      0.09     16.96      0.00      0.00     51.00
 2019    1   4   23     0 2019    1   5    0     0      1.49     58.92      6.00      0.11     16.95      0.00      0.00     53.55
 2019    1   5    0     0 2019    1   5    1     0      1.71     40.87      6.00      0.12     16.95      0.00      0.00     54.83
 2019    1   5    1     0 2019    1   5    2     0      1.78     35.68      6.00      0.13     16.95      0.00      0.00     55.88
 2019    1   5    2     0 2019    1   5    3     0      1.25     31.69      6.00      0.09     16.96      0.00      0.00     51.08
 2019    1   5    3     0 2019    1   5    4     0      0.99     41.82      6.00      0.07     16.95      0.00      0.00     50.32
 2019    1   5    4     0 2019    1   5    5     0      1.00     41.35      6.00      0.07     16.95      0.00      0.00     50.34
 2019    1   5    5     0 2019    1   5    6     0      0.51     47.32      6.00      0.05     30.87      0.00      0.00     50.00
 2019    1   5    6     0 2019    1   5    7     0      0.65    225.52      6.00      0.05     19.20      0.00      0.00     50.02
 2019    1   5    7     0 2019    1   5    8     0      0.59    258.96      6.00      0.05     23.45      0.00      0.00     50.00
 2019    1   5    8     0 2019    1   5    9     0      1.05    219.66      3.00      0.08     16.95      0.00      0.00     50.12
 2019    1   5    9     0 2019    1   5   10     0      0.57    239.59      3.00      0.13     -6.93     43.93      0.00    133.16
 2019    1   5   10     0 2019    1   5   11     0      0.93    232.24      2.00      0.19    -11.26     68.86      0.00    230.09
 2019    1   5   11     0 2019    1   5   12     0      1.40    225.69      2.00      0.26    -22.60     83.10      0.00    305.58
 2019    1   5   12     0 2019    1   5   13     0      0.95    227.97      2.00      0.21     -9.23     89.48      0.00    361.54
 2019    1   5   13     0 2019    1   5   14     0      0.20    196.16      2.00      0.09     -0.48     88.15      0.00    397.70
 2019    1   5   14     0 2019    1   5   15     0      1.18     68.77      2.00      0.22    -22.80     77.64      0.00    416.85
 2019    1   5   15     0 2019    1   5   16     0      1.88     67.83      4.00      0.28   -231.66     46.46      0.00    406.26
