,Scenario 1,,,Scenario 2,,
recettore,max 24h,P098 24h,media anno,max 24h,P098 24h,media anno
foscolo,16.46,11.33,1.077,0.539,0.371,0.035
marco,9.164,6.077,1.004,0.3,0.199,0.033
serenella,0.633,0.117,0.012,0.021,0.004,0
