 PEAK VALUE Output  --------  CD            1

       24   HOUR Average  CONCENTRATION Values at Selected Receptors  (ng/m**3)    
       19   Receptors are Included

 PD START TIME
 YYYY JDY HHMM   (I , J)  T     X(km)      Y(km)  

 2017 340 0000    19   0  D    762.221   5038.771  1.549632E-01
 2017 341 0000     1   0  D    762.253   5039.009  1.653398E-01
 2017 342 0000    19   0  D    762.221   5038.771  2.687450E-01
 2017 343 0000     9   0  D    762.308   5038.811  2.077647E-01
 2017 344 0000    19   0  D    762.221   5038.771  7.967607E-01
 2017 345 0000     1   0  D    762.253   5039.009  4.787036E-01
 2017 346 0000     1   0  D    762.253   5039.009  2.844844E-01
 2017 347 0000    19   0  D    762.221   5038.771  9.065900E-02
 2017 348 0000    19   0  D    762.221   5038.771  2.044988E-01
 2017 349 0000    19   0  D    762.221   5038.771  3.104610E-01
 2017 350 0000     9   0  D    762.308   5038.811  3.395850E-01
 2017 351 0000     9   0  D    762.308   5038.811  1.167470E-01
 2017 352 0000    19   0  D    762.221   5038.771  4.148026E-01
 2017 353 0000    19   0  D    762.221   5038.771  7.977108E-01
 2017 354 0000    19   0  D    762.221   5038.771  2.255316E-01
 2017 355 0000    17   0  D    761.900   5038.891  7.031247E-02
 2017 356 0000    13   0  D    762.726   5039.480  2.001473E-02
 2017 357 0000     9   0  D    762.308   5038.811  3.223328E-03
 2017 358 0000     0   0         0.000      0.000  0.000000E+00
 2017 359 0000     0   0         0.000      0.000  0.000000E+00
 2017 360 0000     0   0         0.000      0.000  0.000000E+00
 2017 361 0000     0   0         0.000      0.000  0.000000E+00
 2017 362 0000     0   0         0.000      0.000  0.000000E+00
 2017 363 0000     0   0         0.000      0.000  0.000000E+00
 2017 364 0000     0   0         0.000      0.000  0.000000E+00
 2017 365 0000     0   0         0.000      0.000  0.000000E+00
