,Scenario 2,,,Scenario 4,,
recettore,max 24h,P098 24h,media anno,max 24h,P098 24h,media anno
foscolo,0.539,0.371,0.035,0.261,0.161,0.015
marco,0.3,0.199,0.033,0.266,0.136,0.024
serenella,0.021,0.004,0,0.021,0.004,0
