 Timeseries at gridpoint ( 11 , 9 )
 YEAR MONTH   DAY  HOUR     WS        WD         T        W         PG         U*        Lmo   Prec.Rate Mix.Hgt  
                           (m/s)     (deg)      (K)     (cm/s)     class     (m/s)      (m)     (mm/hr)     (m)   
                         Layer 1   Layer 1   Layer 1   Layer 1   Layer
 2022     1     3    9      0.87    309.57    278.01      0.08      4.00      0.07     19.87      0.00     50.00
 2022     1     3   10      0.90    309.16    278.26      0.02      4.00      0.16   -327.41      0.00    160.27
 2022     1     3   11      0.82    278.89    278.59     -0.05      4.00      0.17    -50.63      0.00    177.79
 2022     1     3   12      0.74    273.33    278.72     -0.08      3.00      0.20     -8.86      0.00    385.92
 2022     1     3   13      0.72    287.99    279.09     -0.09      4.00      0.16    -26.01      0.00    342.74
 2022     1     3   14      0.46    325.09    279.34     -0.01      3.00      0.18     -2.44      0.00    499.71
 2022     1     3   15      0.49    249.97    279.53     -0.03      3.00      0.16     -4.49      0.00    529.93
 2022     1     3   16      0.34    216.91    279.39     -0.10      3.00      0.10     -7.58      0.00    486.56
 2022     1     3   17      0.35    338.53    279.14      0.06      3.00      0.05     27.81      0.00     50.00
 2022     1     3   18      0.44    332.11    278.84      0.03      6.00      0.05     27.81      0.00     50.00
 2022     1     3   19      1.07    315.48    278.79      0.15      6.00      0.09     19.86      0.00     53.63
 2022     1     3   20      1.23    307.52    278.70      0.13      6.00      0.10     19.86      0.00     57.57
 2022     1     3   21      1.15    297.18    278.78      0.17      6.00      0.10     19.86      0.00     55.61
 2022     1     3   22      1.43    241.80    278.81     -0.06      6.00      0.12     19.86      0.00     61.91
 2022     1     3   23      1.46    251.96    278.99     -0.01      6.00      0.12     19.87      0.00     62.61
 2022     1     4    0      1.04    256.30    278.85     -0.06      6.00      0.09     19.86      0.00     52.89
 2022     1     4    1      1.58     26.33    278.66      0.30      6.00      0.13     19.86      0.00     65.22
 2022     1     4    2      1.43    354.86    278.85      0.20      6.00      0.12     19.86      0.00     61.97
 2022     1     4    3      1.12    222.44    278.86     -0.09      6.00      0.09     19.86      0.00     54.77
 2022     1     4    4      0.88    204.18    278.87     -0.04      6.00      0.07     19.86      0.00     50.00
 2022     1     4    5      0.84    223.78    279.02      0.01      6.00      0.07     19.86      0.00     50.00
 2022     1     4    6      0.30    283.25    279.01      0.18      6.00      0.05     27.81      0.00     50.00
 2022     1     4    7      0.73    270.47    278.95      0.04      6.00      0.06     19.86      0.00     50.00
 2022     1     4    8      0.73    359.29    278.97      0.12      6.00      0.06     19.86      0.00     50.00
 2022     1     4    9      1.29    351.24    278.92      0.11      3.00      0.11     19.86      0.00     58.78
 2022     1     4   10      1.55      0.16    278.93      0.15      3.00      0.29   -118.99      0.00    364.53
 2022     1     4   11      1.54     12.54    278.95      0.02      3.00      0.30    -66.95      0.00    386.96
